strategy,mean,min,max,median
diversity,2.4698119084040324,0.0043132305145263,15.00349473953247,1.918798804283142
entropy,147.1579279020721,3.4306540489196777,680.9013719558716,102.98370170593262
fluctuation_history,116.7269857943058,4.187189817428589,726.509352684021,77.71519577503204
information_density,133.0075254688076,4.972727060317993,630.6676814556122,85.64757752418518
k_means_bert,1.7694362425336652,0.0043342113494873,54.485870361328125,0.5594173669815063
least_confidence,158.07793131856357,3.5979411602020264,782.1155812740326,115.88080072402954
margin_confidence,117.63534206923316,4.463718414306641,612.1005659103394,73.6865371465683
randomizer,0.0066857889586803484,0.0008022785186767,0.0164897441864013,0.00723612308502195
representative_diversity,5.607261792818705,0.0050222873687744,22.61286187171936,3.7258933782577515
round_robin,133.94819544016147,3.940662384033203,694.1155128479004,79.53754687309265
sequential_representation_lc,134.15133998818592,3.918769598007202,517.6754548549652,92.01376152038574
tag_count,84.98086065658624,2.701711654663086,351.111310005188,60.04852628707886
tag_flip,140.4962749826465,5.582165241241455,635.3397734165192,95.64842820167542
